success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,error
True,False,bfs,8.75012898445129,"frozenset({1, 4})",10,4,0.35,0.27999999999999997,4,,
True,False,mm,5.200104665756224,"frozenset({1, 4})",10,4,0.35,0.27999999999999997,4,,
True,False,mm_bundled,1.5667555967966713,"frozenset({4, 5})",10,4,0.35,0.27999999999999997,4,2.0,
True,False,mm_bundled,1.026267723810105,"frozenset({5, 6, 7, 8, 9})",10,4,0.35,0.27999999999999997,4,5.0,
True,False,bfs,4.500128507614136,"frozenset({0, 2})",10,5,0.35,0.27999999999999997,4,,
True,False,mm,4.5002055168151855,"frozenset({0, 2})",10,5,0.35,0.27999999999999997,4,,
True,False,mm_bundled,0.966787306467692,"frozenset({2, 3})",10,5,0.35,0.27999999999999997,4,2.0,
True,False,mm_bundled,1.2168883959452312,"frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9})",10,5,0.35,0.27999999999999997,4,5.0,
True,False,bfs,4.850156641006469,"frozenset({0, 3})",10,6,0.35,0.27999999999999997,4,,
True,False,mm,4.850130414962768,"frozenset({0, 3})",10,6,0.35,0.27999999999999997,4,,
True,False,mm_bundled,1.31674796740214,"frozenset({4, 5})",10,6,0.35,0.27999999999999997,4,2.0,
True,False,mm_bundled,1.216810433069865,"frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9})",10,6,0.35,0.27999999999999997,4,5.0,
True,False,bfs,19.20692236461338,"frozenset({0, 2, 6})",10,7,0.26666666666666666,0.21333333333333335,6,,
True,False,mm,11.242313354734394,"frozenset({0, 2, 6})",10,7,0.26666666666666666,0.21333333333333335,6,,
True,False,mm_bundled,9.867024771372474,,10,7,0.26666666666666666,0.21333333333333335,6,2.0,
True,False,mm_bundled,1.216808048884074,,10,7,0.26666666666666666,0.21333333333333335,6,5.0,
True,False,bfs,32.08300555244328,"frozenset({1, 4, 7})",10,8,0.26666666666666666,0.21333333333333335,6,,
True,False,mm,12.214114812820677,"frozenset({1, 4, 7})",10,8,0.26666666666666666,0.21333333333333335,6,,
True,False,mm_bundled,9.867430321375526,,10,8,0.26666666666666666,0.21333333333333335,6,2.0,
True,False,mm_bundled,1.2168109099070232,,10,8,0.26666666666666666,0.21333333333333335,6,5.0,
True,False,bfs,4.500114440917968,"frozenset({0, 2})",10,9,0.35,0.27999999999999997,4,,
True,False,mm,4.500120162963866,"frozenset({0, 2})",10,9,0.35,0.27999999999999997,4,,
True,False,mm_bundled,2.017176882425944,"frozenset({8, 9})",10,9,0.35,0.27999999999999997,4,2.0,
True,False,mm_bundled,1.0263032481783911,"frozenset({5, 6, 7, 8, 9})",10,9,0.35,0.27999999999999997,4,5.0,
True,False,bfs,18174.45754118667,"frozenset({0, 1, 2, 4, 6, 7, 10, 11})",25,0,0.19090909090909092,0.15272727272727274,11,,
True,False,mm,4846.4709675163185,"frozenset({0, 1, 2, 4, 7, 10, 15, 21})",25,0,0.19090909090909092,0.15272727272727274,11,,
True,False,mm_bundled,5.816423367554236,,25,0,0.19090909090909092,0.15272727272727274,11,5.0,
True,False,mm_bundled,1.463081658721478,,25,0,0.19090909090909092,0.15272727272727274,11,12.0,
False,True,bfs,2.0,,25,1,0.17692307692307693,0.14153846153846156,13,,
True,False,mm,218.960093772376,"frozenset({1, 2, 6, 7, 9, 11, 16, 17, 19, 20, 22, 23})",25,1,0.17692307692307693,0.14153846153846156,13,,
True,False,mm_bundled,5.816879939133173,,25,1,0.17692307692307693,0.14153846153846156,13,5.0,
True,False,mm_bundled,1.4412561917916324,,25,1,0.17692307692307693,0.14153846153846156,13,12.0,
True,False,bfs,7832.506348135299,"frozenset({0, 1, 3, 4, 6, 9})",25,2,0.2111111111111111,0.1688888888888889,9,,
True,False,mm,15698.534226356016,"frozenset({0, 19, 4, 21, 9, 13})",25,2,0.2111111111111111,0.1688888888888889,9,,
True,False,mm_bundled,1.5688828487588904,"frozenset({0, 1, 2, 3, 4, 10, 11, 12, 13, 14})",25,2,0.2111111111111111,0.1688888888888889,9,5.0,
