success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,awt_coeff
False,True,mm,2.0,,20,5,0.19090909090909092,0.13363636363636364,11,,0.7
True,False,mm_bundled,6.669487808779908,,20,5,0.19090909090909092,0.13363636363636364,11,4.0,0.7
True,False,mm_bundled,0.8042125422545154,,20,5,0.19090909090909092,0.13363636363636364,11,10.0,0.7
False,True,bfs,2.0,,20,6,0.2111111111111111,0.14777777777777776,9,,0.7
False,True,mm,2.0,,20,6,0.2111111111111111,0.14777777777777776,9,,0.7
True,False,mm_bundled,6.505160979449556,,20,6,0.2111111111111111,0.14777777777777776,9,4.0,0.7
True,False,mm_bundled,0.8044156748838986,,20,6,0.2111111111111111,0.14777777777777776,9,10.0,0.7
False,True,bfs,2.0,,20,7,0.2,0.13999999999999999,10,,0.7
False,True,mm,2.0,,20,7,0.2,0.13999999999999999,10,,0.7
True,False,mm_bundled,6.62006018275315,,20,7,0.2,0.13999999999999999,10,4.0,0.7
True,False,mm_bundled,0.8086628278096517,,20,7,0.2,0.13999999999999999,10,10.0,0.7
False,True,bfs,2.0,,20,8,0.2,0.13999999999999999,10,,0.7
False,True,mm,2.0,,20,8,0.2,0.13999999999999999,10,,0.7
True,False,mm_bundled,6.6200895082382925,,20,8,0.2,0.13999999999999999,10,4.0,0.7
True,False,mm_bundled,0.8085145314534505,,20,8,0.2,0.13999999999999999,10,10.0,0.7
False,True,bfs,2.0,,20,9,0.18333333333333335,0.12833333333333333,12,,0.7
False,True,mm,2.0,,20,9,0.18333333333333335,0.12833333333333333,12,,0.7
True,False,mm_bundled,6.467500654856849,,20,9,0.18333333333333335,0.12833333333333333,12,4.0,0.7
True,False,mm_bundled,0.8168612162272666,,20,9,0.18333333333333335,0.12833333333333333,12,10.0,0.7
False,True,bfs,2.0,,20,0,0.17692307692307693,0.14153846153846156,13,,0.8
False,True,mm,2.0,,20,0,0.17692307692307693,0.14153846153846156,13,,0.8
True,False,mm_bundled,6.575260250776666,,20,0,0.17692307692307693,0.14153846153846156,13,4.0,0.8
True,False,mm_bundled,0.8221551886461249,,20,0,0.17692307692307693,0.14153846153846156,13,10.0,0.8
False,True,bfs,2.0,,20,1,0.2,0.16000000000000003,10,,0.8
True,False,mm,132.27074208315418,"frozenset({1, 19, 6, 10, 11, 13, 15})",20,1,0.2,0.16000000000000003,10,,0.8
True,False,mm_bundled,6.40072073936426,,20,1,0.2,0.16000000000000003,10,4.0,0.8
True,False,mm_bundled,0.8085495789845785,,20,1,0.2,0.16000000000000003,10,10.0,0.8
False,True,bfs,2.0,,20,2,0.17692307692307693,0.14153846153846156,13,,0.8
False,True,mm,2.0,,20,2,0.17692307692307693,0.14153846153846156,13,,0.8
True,False,mm_bundled,6.90639123026454,,20,2,0.17692307692307693,0.14153846153846156,13,4.0,0.8
True,False,mm_bundled,1.012304962392875,,20,2,0.17692307692307693,0.14153846153846156,13,10.0,0.8
True,False,bfs,1320.2687525642964,"frozenset({1, 3, 4, 5, 7, 8})",20,3,0.2111111111111111,0.1688888888888889,9,,0.8
True,False,mm,1686.6107013013223,"frozenset({1, 18, 4, 5, 8, 14})",20,3,0.2111111111111111,0.1688888888888889,9,,0.8
